Qtde Vítimas,Estadual,Federal,Municipal,NÃO INF.
Aceguá,0,0,0,0
Água Santa,0,0,0,0
Agudo,2,0,0,0
Ajuricaba,0,0,0,0
Alecrim,0,0,0,0
Alegrete,1,1,2,0
Alegria,0,0,0,0
Almirante Tamandaré do Sul,0,2,0,0
Alpestre,3,0,0,0
Alto Alegre,0,0,0,0
Alvorada,2,0,11,0
Amaral Ferrador,0,0,0,0
Ametista do Sul,0,0,0,0
André da Rocha,0,0,0,0
Anta Gorda,0,0,0,0
Antônio Prado,2,0,1,0
Arambaré,0,0,0,0
Araricá,9,0,0,0
Aratiba,0,0,2,0
Arroio do Meio,4,0,1,0
Arroio do Padre,0,0,0,0
Arroio do Sal,0,0,0,0
Arroio do Tigre,1,0,1,0
Arroio dos Ratos,0,0,2,0
Arroio Grande,0,0,1,0
Arvorezinha,0,0,0,0
Augusto Pestana,3,0,1,0
Áurea,0,0,1,0
Bagé,0,8,9,0
Balneário Pinhal,1,0,1,0
Barão,0,0,1,0
Barão de Cotegipe,0,0,0,0
Barão do Triunfo,0,0,0,0
Barra do Guarita,0,0,0,0
Barra do Quaraí,0,0,0,0
Barra do Ribeiro,0,3,0,1
Barra do Rio Azul,0,0,0,0
Barra Funda,0,0,0,0
Barracão,0,1,0,0
Barros Cassal,1,0,1,0
Benjamin Constant do Sul,0,0,0,0
Bento Gonçalves,2,6,5,0
Boa Vista das Missões,0,2,0,0
Boa Vista do Buricá,2,0,1,0
Boa Vista do Cadeado,0,0,0,0
Boa Vista do Incra,1,0,0,0
Boa Vista do Sul,0,0,0,0
Bom Jesus,4,1,0,0
Bom Princípio,3,0,1,0
Bom Progresso,0,0,0,0
Bom Retiro do Sul,1,0,2,0
Boqueirão do Leão,0,0,1,0
Bossoroca,0,0,0,0
Bozano,0,1,0,0
Braga,0,0,0,0
Brochier,0,0,1,0
Butiá,0,3,0,0
Caçapava do Sul,1,4,1,0
Cacequi,0,0,0,0
Cachoeira do Sul,1,5,5,0
Cachoeirinha,2,1,4,0
Cacique Doble,3,0,0,0
Caibaté,2,0,0,0
Caiçara,2,0,0,0
Camaquã,0,4,2,0
Camargo,0,0,1,0
Cambará do Sul,6,0,0,0
Campestre da Serra,0,1,0,0
Campina das Missões,3,0,0,0
Campinas do Sul,1,0,0,0
Campo Bom,1,0,3,0
Campo Novo,0,2,0,0
Campos Borges,0,0,0,0
Candelária,5,0,1,0
Cândido Godói,1,0,0,0
Candiota,0,0,1,0
Canela,1,0,1,0
Canguçu,1,8,4,0
Canoas,0,9,25,0
Canudos do Vale,0,0,0,0
Capão Bonito do Sul,0,0,0,0
Capão da Canoa,4,0,2,0
Capão do Cipó,1,0,0,0
Capão do Leão,0,6,2,0
Capela de Santana,2,0,1,0
Capitão,0,0,0,0
Capivari do Sul,3,0,0,0
Caraá,0,0,0,0
Carazinho,1,4,2,0
Carlos Barbosa,1,2,1,0
Carlos Gomes,0,0,0,0
Casca,4,0,0,0
Caseiros,0,2,0,0
Catuípe,3,0,1,0
Caxias do Sul,23,13,20,0
Centenário,0,0,0,0
Cerrito,0,0,0,0
Cerro Branco,0,0,1,0
Cerro Grande,0,0,2,0
Cerro Grande do Sul,0,0,2,0
Cerro Largo,0,1,3,0
Chapada,2,0,0,0
Charqueadas,0,0,0,0
Charrua,0,0,0,0
Chiapetta,0,0,0,0
Chuí,0,1,0,0
Chuvisca,0,0,2,0
Cidreira,2,0,0,0
Ciríaco,0,6,0,0
Colinas,0,0,0,0
Colorado,0,1,0,0
Condor,0,2,1,0
Constantina,2,0,2,0
Coqueiro Baixo,0,0,0,0
Coqueiros do Sul,0,0,0,0
Coronel Barros,0,0,0,0
Coronel Bicaco,0,1,1,0
Coronel Pilar,0,0,0,0
Cotiporã,0,0,0,0
Coxilha,2,0,0,0
Crissiumal,2,0,0,0
Cristal,0,0,1,0
Cristal do Sul,0,0,0,0
Cruz Alta,3,7,2,0
Cruzaltense,0,0,1,0
Cruzeiro do Sul,1,0,0,0
David Canabarro,0,0,1,0
Derrubadas,1,0,0,0
Dezesseis de Novembro,1,0,0,0
Dilermando de Aguiar,0,0,0,0
Dois Irmãos,0,3,2,0
Dois Irmãos das Missões,0,0,0,0
Dois Lajeados,1,0,1,0
Dom Feliciano,1,0,2,0
Dom Pedrito,0,1,1,0
Dom Pedro de Alcântara,0,0,0,0
Dona Francisca,0,0,0,0
Doutor Maurício Cardoso,0,0,1,0
Doutor Ricardo,0,0,0,0
Eldorado do Sul,0,8,2,0
Encantado,4,0,1,0
Encruzilhada do Sul,6,0,1,0
Engenho Velho,0,0,0,0
Entre-Ijuís,0,2,0,0
Entre Rios do Sul,0,0,0,0
Erebango,1,0,0,0
Erechim,4,3,6,0
Ernestina,1,0,0,0
Erval Grande,0,0,0,0
Erval Seco,0,0,0,0
Esmeralda,1,0,1,0
Esperança do Sul,1,0,4,0
Espumoso,1,0,2,0
Estação,1,0,0,0
Estância Velha,0,0,2,0
Esteio,0,2,2,0
Estrela,2,4,1,0
Estrela Velha,0,0,0,0
Eugênio de Castro,0,0,0,0
Fagundes Varela,0,0,0,0
Farroupilha,10,0,2,0
Faxinal do Soturno,2,0,0,0
Faxinalzinho,0,0,0,0
Fazenda Vilanova,0,4,0,0
Feliz,0,0,1,0
Flores da Cunha,6,0,4,0
Floriano Peixoto,0,0,0,0
Fontoura Xavier,0,3,1,0
Formigueiro,1,0,0,0
Forquetinha,0,0,0,0
Fortaleza dos Valos,0,0,1,0
Frederico Westphalen,2,3,0,0
Garibaldi,4,2,1,0
Garruchos,0,0,1,0
Gaurama,0,0,0,0
General Câmara,0,0,1,0
Gentil,0,0,0,0
Getúlio Vargas,4,0,1,0
Giruá,0,0,0,0
Glorinha,0,1,1,0
Gramado,6,0,2,0
Gramado dos Loureiros,0,0,0,0
Gramado Xavier,0,0,0,0
